product_id,product_name,product_category,cost_price,list_price,supplier,launch_date
P0001,Purpose Networkin,Networking,73.76,89.25,TechCorp,12/12/2019
P0002,Ago Smartphone,Smartphones,749.65,1027.53,Nova Electronics,04/05/2021
P0003,Election Monitor,Monitors,610.97,679.83,TechCorp,24/11/2020
P0004,Chair Laptop,Laptops,271.03,363.4,Nova Electronics,15/11/2019
P0005,Require Monitor,Monitors,730.22,1008.09,Nova Electronics,22/08/2023
P0006,Begin Accessorie,Accessories,476.75,577.48,Nova Electronics,09/01/2024
P0007,Knowledge Laptop,Laptops,713.23,881.62,Nova Electronics,09/04/2019
P0008,All Smartphone,Smartphones,959.35,1184.45,Nova Electronics,19/10/2019
P0009,Discover Laptop,Laptops,141.88,204.17,Quantum Supplies,23/12/2020
P0010,Mouth Monitor,Monitors,816.77,1136.86,Digitex,14/02/2024
P0011,Agreement Monitor,Monitors,974.46,1219.45,TechCorp,10/10/2023
P0012,Decide Monitor,Monitors,837.93,1129.03,Digitex,21/08/2023
P0013,Kind Tablet,Tablets,232.67,262.41,ByteWare,15/11/2020
P0014,List Networkin,Networking,784.41,1171.98,Nova Electronics,05/01/2024
P0015,Fall Smartphone,Smartphones,411.12,526.79,TechCorp,21/01/2019
P0016,Song Tablet,Tablets,401.67,475.5,Nova Electronics,11/05/2020
P0017,Save Tablet,Tablets,939.82,1277.42,FutureTek,06/08/2022
P0018,Grow Monitor,Monitors,212.58,295.84,FutureTek,13/05/2021
P0019,Clearly Smartphone,Smartphones,410.48,614,Quantum Supplies,30/10/2020
P0020,Source Networkin,Networking,579.1,795.59,FutureTek,11/11/2021
P0021,Blue Laptop,Laptops,830.71,1181.28,Nova Electronics,16/10/2019
P0022,Husband Accessorie,Accessories,112.88,165.4,Digitex,28/10/2019
P0023,Her Monitor,Monitors,348.94,475.32,FutureTek,04/12/2021
P0024,Pm Accessorie,Accessories,485.91,585.98,FutureTek,01/04/2021
P0025,Surface Smartphone,Smartphones,583.3,702.93,FutureTek,15/05/2019
P0026,Show Monitor,Monitors,902.93,1137.48,Quantum Supplies,28/11/2022
P0027,Not Smartphone,Smartphones,534.05,606.88,Nova Electronics,23/01/2020
P0028,Win Laptop,Laptops,195.2,227.21,TechCorp,22/03/2022
P0029,Bar Networkin,Networking,616.59,773.15,Quantum Supplies,12/09/2023
P0030,Finally Monitor,Monitors,552.66,822.6,Quantum Supplies,07/05/2024
P0031,Present Laptop,Laptops,734.69,1008.5,FutureTek,28/01/2022
P0032,Participant Monitor,Monitors,780.17,964.34,Digitex,20/08/2020
P0033,Sea Tablet,Tablets,200.25,220.53,Quantum Supplies,05/08/2019
P0034,Answer Networkin,Networking,300.22,390.36,FutureTek,09/12/2020
P0035,Spring Smartphone,Smartphones,917,1328.01,ByteWare,18/06/2021
P0036,Base Tablet,Tablets,532.28,627.86,FutureTek,24/12/2020
P0037,Trial Tablet,Tablets,562.41,793.81,Nova Electronics,10/11/2019
P0038,Husband Monitor,Monitors,619,801.88,TechCorp,13/05/2021
P0039,Long Laptop,Laptops,884.79,1267.61,Digitex,29/05/2024
P0040,They Tablet,Tablets,105.03,152.42,Nova Electronics,07/02/2022
P0041,Commercial Laptop,Laptops,745.31,1063.12,TechCorp,24/02/2022
P0042,Hear Monitor,Monitors,171.97,221.86,Nova Electronics,12/10/2020
P0043,Religious Monitor,Monitors,301.8,437.3,Nova Electronics,09/04/2021
P0044,Science Accessorie,Accessories,932.47,1307.42,Nova Electronics,10/08/2019
P0045,Politics Networkin,Networking,727.3,916.1,Nova Electronics,26/05/2024
P0046,Congress Networkin,Networking,404.75,590.87,FutureTek,18/07/2023
P0047,Shoulder Accessorie,Accessories,285.51,321.37,TechCorp,30/01/2021
P0048,Common Laptop,Laptops,576.23,769.48,ByteWare,07/12/2022
P0049,Hundred Laptop,Laptops,722.45,811.71,TechCorp,18/04/2021
P0050,Wish Laptop,Laptops,866.65,977.88,TechCorp,11/06/2024
P0051,Rise Smartphone,Smartphones,685.53,812.83,Digitex,27/09/2023
P0052,Discuss Smartphone,Smartphones,938.74,1247.04,FutureTek,04/10/2021
P0053,Threat Accessorie,Accessories,795.39,1131.84,Nova Electronics,23/06/2019
P0054,Drop Smartphone,Smartphones,142.08,180.79,TechCorp,10/04/2019
P0055,Support Accessorie,Accessories,493.67,687.01,Quantum Supplies,07/09/2021
P0056,Institution Networkin,Networking,984.96,1122.23,FutureTek,11/04/2021
P0057,Attorney Accessorie,Accessories,372.34,537.91,FutureTek,17/10/2020
P0058,White Smartphone,Smartphones,230.7,295.17,Nova Electronics,29/10/2023
P0059,Under Accessorie,Accessories,314.62,377.52,Nova Electronics,04/09/2021
P0060,Difference Laptop,Laptops,817.62,1179.32,Quantum Supplies,01/04/2023
P0061,Individual Laptop,Laptops,669.54,881.27,TechCorp,20/06/2024
P0062,Low Laptop,Laptops,930.05,1338.79,TechCorp,19/03/2020
P0063,Evidence Smartphone,Smartphones,511.36,606.22,Quantum Supplies,09/03/2020
P0064,Employee Accessorie,Accessories,206.41,227.23,TechCorp,11/10/2023
P0065,Nothing Accessorie,Accessories,930.19,1315.34,Digitex,27/03/2021
P0066,Skin Tablet,Tablets,711.76,990.91,Quantum Supplies,22/12/2023
P0067,Later Monitor,Monitors,732.49,851.09,FutureTek,18/12/2023
P0068,Inside Tablet,Tablets,970.27,1292.08,Nova Electronics,29/01/2022
P0069,Discuss Monitor,Monitors,760.58,854.03,TechCorp,05/03/2020
P0070,Mr Monitor,Monitors,527.71,760.48,Quantum Supplies,14/03/2023
P0071,Benefit Smartphone,Smartphones,962.74,1089.86,TechCorp,27/05/2019
P0072,Traditional Smartphone,Smartphones,615.28,842.99,TechCorp,07/12/2019
P0073,Claim Smartphone,Smartphones,163.89,238.64,Quantum Supplies,03/05/2024
P0074,Collection Smartphone,Smartphones,614.79,828.58,ByteWare,04/08/2022
P0075,Pick Accessorie,Accessories,604.49,791.35,FutureTek,17/07/2019
P0076,Image Tablet,Tablets,686.24,841.11,Nova Electronics,31/03/2022
P0077,Pick Tablet,Tablets,174.33,236.78,Quantum Supplies,25/12/2022
P0078,Newspaper Accessorie,Accessories,932.57,1374.88,Digitex,20/02/2021
P0079,On Laptop,Laptops,640.1,848.26,Quantum Supplies,05/02/2019
P0080,Response Laptop,Laptops,560.75,730.29,TechCorp,22/12/2019
P0081,Rest Smartphone,Smartphones,886.82,1287.4,Digitex,27/07/2023
P0082,Social Tablet,Tablets,199.86,286.5,Digitex,08/04/2021
P0083,Specific Networkin,Networking,631.09,943.41,Digitex,14/06/2024
P0084,Grow Networkin,Networking,57.43,81.94,ByteWare,13/12/2019
P0085,Finally Tablet,Tablets,148.41,215.38,FutureTek,12/09/2022
P0086,Coach Tablet,Tablets,895.23,1250.61,TechCorp,10/11/2022
P0087,About Smartphone,Smartphones,317.67,376.2,Digitex,29/03/2021
P0088,Month Tablet,Tablets,703.12,1013.31,Nova Electronics,09/07/2020
P0089,Movement Monitor,Monitors,288.57,422.25,Quantum Supplies,27/11/2019
P0090,Truth Laptop,Laptops,652.57,934.31,TechCorp,26/04/2024
P0091,Fire Laptop,Laptops,366.88,422.77,TechCorp,08/06/2024
P0092,Movement Tablet,Tablets,754.17,996.01,Nova Electronics,07/03/2024
P0093,Decide Accessorie,Accessories,59.19,66.89,ByteWare,19/04/2020
P0094,Hour Networkin,Networking,568.31,814.86,Nova Electronics,16/05/2020
P0095,Notice Monitor,Monitors,190.69,219.48,ByteWare,06/07/2023
P0096,Why Tablet,Tablets,904.03,1282.32,Digitex,02/01/2019
P0097,Place Laptop,Laptops,249.57,299.44,Digitex,04/10/2021
P0098,Middle Laptop,Laptops,791.11,1150,Digitex,02/03/2019
P0099,Brother Accessorie,Accessories,762,1120.37,ByteWare,01/02/2022
P0100,Unit Smartphone,Smartphones,977.4,1392.12,Nova Electronics,13/08/2021
P0101,Education Accessorie,Accessories,220.39,323.93,TechCorp,29/06/2019
P0102,Effect Accessorie,Accessories,870.86,1240.37,FutureTek,29/10/2023
P0103,Your Tablet,Tablets,798.01,912.32,Nova Electronics,02/09/2019
P0104,Bed Laptop,Laptops,261.31,372.79,Quantum Supplies,18/02/2023
P0105,Team Accessorie,Accessories,339.93,482.07,Digitex,04/08/2019
P0106,Soon Smartphone,Smartphones,72.48,85.33,Nova Electronics,14/07/2023
P0107,Space Tablet,Tablets,871.14,1295.17,Digitex,26/01/2020
P0108,Career Tablet,Tablets,659.41,830.77,Digitex,16/01/2023
P0109,Your Monitor,Monitors,942.28,1079.98,Digitex,05/09/2023
P0110,Company Tablet,Tablets,601.56,898.38,Nova Electronics,03/04/2021
P0111,News Laptop,Laptops,616.74,763.69,TechCorp,28/02/2024
P0112,Land Tablet,Tablets,625.9,816.53,Quantum Supplies,20/10/2020
P0113,Woman Accessorie,Accessories,230.57,257.72,ByteWare,03/08/2023
P0114,Someone Accessorie,Accessories,543.92,773.78,TechCorp,16/09/2020
P0115,Sell Networkin,Networking,943.25,1315.66,FutureTek,26/08/2021
P0116,Inside Smartphone,Smartphones,459.73,680.19,Digitex,06/03/2022
P0117,Left Tablet,Tablets,348.22,501.16,ByteWare,28/05/2023
P0118,Live Networkin,Networking,531.77,726.8,Digitex,11/01/2020
P0119,End Tablet,Tablets,712.35,941.56,Quantum Supplies,29/11/2020
P0120,Attack Smartphone,Smartphones,681.68,853.23,Quantum Supplies,16/11/2021
P0121,Against Networkin,Networking,634.74,774.62,Nova Electronics,02/01/2024
P0122,Once Monitor,Monitors,338.68,401.02,TechCorp,15/12/2020
P0123,Per Monitor,Monitors,671.97,864.15,ByteWare,15/11/2020
P0124,Account Accessorie,Accessories,253.02,326.21,FutureTek,09/08/2019
P0125,Second Networkin,Networking,675.91,820.23,Nova Electronics,14/05/2024
P0126,Artist Networkin,Networking,638.3,725.97,FutureTek,12/12/2020
P0127,Author Smartphone,Smartphones,344.9,490.66,FutureTek,08/04/2019
P0128,Trade Smartphone,Smartphones,93.9,140.25,TechCorp,23/10/2021
P0129,Avoid Monitor,Monitors,482.65,701.99,TechCorp,17/05/2023
P0130,Economy Monitor,Monitors,732.43,918.17,Nova Electronics,15/05/2021
P0131,Relationship Accessorie,Accessories,190.19,261.52,Nova Electronics,17/02/2023
P0132,Difficult Laptop,Laptops,257.9,366.64,Quantum Supplies,03/08/2023
P0133,Cause Networkin,Networking,491.32,650,ByteWare,10/11/2023
P0134,Part Laptop,Laptops,176.67,227.17,Quantum Supplies,08/01/2023
P0135,Eight Monitor,Monitors,615.68,911.22,ByteWare,09/01/2023
P0136,Surface Accessorie,Accessories,824.26,1200.79,ByteWare,18/06/2022
P0137,Customer Accessorie,Accessories,473.62,551.13,ByteWare,21/10/2019
P0138,Bill Accessorie,Accessories,296.23,355.15,Quantum Supplies,01/09/2022
P0139,Health Networkin,Networking,777.52,1017.4,Digitex,09/08/2022
P0140,Item Networkin,Networking,310.87,351.59,Nova Electronics,21/12/2022
P0141,Treat Tablet,Tablets,308.13,378.35,Nova Electronics,18/06/2019
P0142,Report Monitor,Monitors,181.46,216.39,TechCorp,02/11/2019
P0143,Ask Networkin,Networking,721.1,811.74,Nova Electronics,04/06/2022
P0144,Should Accessorie,Accessories,565.48,716.07,Digitex,20/11/2021
P0145,Such Smartphone,Smartphones,420,591.33,Quantum Supplies,06/12/2019
P0146,Energy Networkin,Networking,863.9,1214.85,TechCorp,18/08/2020
P0147,Customer Accessorie,Accessories,55.6,68.98,Quantum Supplies,25/07/2023
P0148,List Accessorie,Accessories,561.31,782.38,Quantum Supplies,11/03/2020
P0149,Knowledge Monitor,Monitors,513.82,621.3,Nova Electronics,24/07/2020
P0150,Family Accessorie,Accessories,419.41,573.56,TechCorp,08/12/2022
P0151,Enjoy Accessorie,Accessories,206.79,266.13,FutureTek,23/08/2019
P0152,Level Smartphone,Smartphones,557.42,815.38,ByteWare,06/09/2023
P0153,Billion Monitor,Monitors,679.85,770.66,ByteWare,07/06/2019
P0154,Reach Accessorie,Accessories,873.51,1024.36,Nova Electronics,07/08/2023
P0155,Think Tablet,Tablets,360.99,462.75,Quantum Supplies,15/02/2019
P0156,Better Tablet,Tablets,314.34,465.37,Quantum Supplies,04/01/2021
P0157,Compare Accessorie,Accessories,843.17,1086.11,Digitex,16/06/2022
P0158,Mention Networkin,Networking,99.48,147.31,ByteWare,04/02/2023
P0159,Different Smartphone,Smartphones,115.19,170.82,FutureTek,30/05/2022
P0160,Weight Laptop,Laptops,952.13,1123.27,TechCorp,02/07/2019
P0161,Community Laptop,Laptops,194.76,224.07,ByteWare,23/03/2022
P0162,Able Networkin,Networking,585.77,695.42,TechCorp,27/04/2022
P0163,Evidence Networkin,Networking,778.55,908.66,Digitex,14/11/2022
P0164,Feeling Monitor,Monitors,732.44,1033.56,FutureTek,07/08/2022
P0165,Same Smartphone,Smartphones,152.69,169.53,Digitex,23/09/2023
P0166,Recently Tablet,Tablets,693.48,1028.62,ByteWare,21/02/2023
P0167,Clear Accessorie,Accessories,238.41,318.72,FutureTek,12/08/2020
P0168,Fine Networkin,Networking,146.81,206.85,Nova Electronics,07/11/2020
P0169,Article Networkin,Networking,815.25,1156.42,ByteWare,05/12/2023
P0170,Simply Monitor,Monitors,379.84,482.91,TechCorp,12/08/2023
P0171,Ask Tablet,Tablets,530.66,656.16,TechCorp,01/09/2021
P0172,Art Accessorie,Accessories,150.26,223.03,Quantum Supplies,05/06/2019
P0173,Pattern Networkin,Networking,721.94,919.89,Quantum Supplies,21/01/2023
P0174,Morning Networkin,Networking,967.2,1168.41,ByteWare,09/07/2023
P0175,Coach Monitor,Monitors,491.63,703.18,Quantum Supplies,26/06/2019
P0176,Movie Monitor,Monitors,356.19,426.79,Digitex,06/09/2019
P0177,Today Laptop,Laptops,887.55,1062.88,Digitex,31/07/2020
P0178,Authority Accessorie,Accessories,629.82,788.28,ByteWare,23/01/2024
P0179,Author Laptop,Laptops,858.41,1006.69,Quantum Supplies,31/12/2020
P0180,International Smartphone,Smartphones,807.94,998.72,Digitex,08/01/2020
P0181,Year Monitor,Monitors,886.1,1171.7,FutureTek,05/11/2023
P0182,Employee Monitor,Monitors,131.33,182.29,Nova Electronics,04/12/2023
P0183,Phone Accessorie,Accessories,770.26,1060.07,ByteWare,04/05/2019
P0184,President Networkin,Networking,516.28,731.66,FutureTek,12/09/2019
P0185,Kind Laptop,Laptops,260.52,358.66,Digitex,19/12/2023
P0186,Other Tablet,Tablets,602.48,776.78,FutureTek,13/06/2023
P0187,Four Monitor,Monitors,454.23,635.18,Digitex,21/03/2021
P0188,Democratic Tablet,Tablets,717.71,867.26,Digitex,03/09/2021
P0189,Edge Tablet,Tablets,164.62,193.76,Nova Electronics,05/04/2021
P0190,Individual Laptop,Laptops,559.07,785.42,FutureTek,11/02/2020
P0191,Remain Smartphone,Smartphones,255.57,330.63,Nova Electronics,28/06/2024
P0192,First Networkin,Networking,977.78,1280.75,ByteWare,21/11/2022
P0193,Four Tablet,Tablets,841,1024.76,TechCorp,14/08/2019
P0194,Act Tablet,Tablets,337.15,466.35,Nova Electronics,24/11/2022
P0195,Pretty Smartphone,Smartphones,93.24,104.6,Digitex,16/10/2023
P0196,Black Tablet,Tablets,946.89,1283.18,FutureTek,16/08/2019
P0197,Note Accessorie,Accessories,879.08,1168.85,TechCorp,24/10/2020
P0198,Move Accessorie,Accessories,468.45,549.84,Quantum Supplies,03/04/2021
P0199,Cause Laptop,Laptops,944.01,1218.8,Digitex,20/12/2021
P0200,Upon Laptop,Laptops,517.16,688.24,Quantum Supplies,02/08/2019
P0201,Until Networkin,Networking,194.14,276.54,TechCorp,28/01/2021
P0202,Hope Tablet,Tablets,994.22,1140.75,TechCorp,04/06/2021
P0203,Coach Accessorie,Accessories,616.32,830.41,ByteWare,23/09/2022
P0204,These Monitor,Monitors,477.99,610.44,Quantum Supplies,15/08/2023
P0205,Score Monitor,Monitors,340.11,458.61,Quantum Supplies,28/07/2021
P0206,Population Monitor,Monitors,144.27,202.71,FutureTek,02/07/2023
P0207,Across Networkin,Networking,301.41,341.34,Nova Electronics,20/09/2023
P0208,Firm Smartphone,Smartphones,574.39,667.79,Nova Electronics,18/11/2019
P0209,Wrong Accessorie,Accessories,704.9,907.89,Quantum Supplies,22/02/2020
P0210,Everything Laptop,Laptops,323.7,392.68,Nova Electronics,25/12/2019
P0211,Voice Accessorie,Accessories,703.02,1033.13,TechCorp,29/11/2019
P0212,Situation Networkin,Networking,678.12,999.19,ByteWare,15/09/2023
P0213,Clearly Accessorie,Accessories,567.33,771.03,TechCorp,26/04/2021
P0214,Father Tablet,Tablets,117.84,137.44,Nova Electronics,23/02/2024
P0215,Develop Tablet,Tablets,761.51,1011.04,ByteWare,01/12/2021
P0216,Democrat Tablet,Tablets,168.14,231.27,Quantum Supplies,24/05/2024
P0217,Tonight Networkin,Networking,945.54,1229.38,Quantum Supplies,31/03/2021
P0218,Mouth Accessorie,Accessories,126.42,141.08,Quantum Supplies,26/02/2023
P0219,Enter Accessorie,Accessories,356.21,427.5,FutureTek,07/06/2019
P0220,Best Laptop,Laptops,963.82,1382.49,Nova Electronics,24/05/2024
P0221,Land Monitor,Monitors,953.25,1429.71,ByteWare,09/05/2021
P0222,Another Networkin,Networking,597.43,839.53,Digitex,12/01/2019
P0223,Goal Smartphone,Smartphones,543.02,693.38,Quantum Supplies,11/02/2020
P0224,Public Tablet,Tablets,997.1,1270.66,Nova Electronics,24/03/2021
P0225,Color Accessorie,Accessories,496.51,627.26,TechCorp,04/10/2022
P0226,Ok Tablet,Tablets,149.37,173.92,FutureTek,21/08/2022
P0227,Option Accessorie,Accessories,520.7,710.77,FutureTek,31/01/2019
P0228,Brother Accessorie,Accessories,84.86,96.34,ByteWare,22/08/2019
P0229,You Tablet,Tablets,160.13,225.63,Digitex,08/04/2020
P0230,Offer Monitor,Monitors,674.78,888.71,TechCorp,22/04/2019
P0231,They Accessorie,Accessories,228.2,284.04,TechCorp,21/02/2022
P0232,Pass Accessorie,Accessories,469.94,526.64,FutureTek,13/09/2023
P0233,Choose Tablet,Tablets,174.46,212.01,ByteWare,28/08/2022
P0234,Care Networkin,Networking,165.35,246.25,Quantum Supplies,10/05/2019
P0235,Foot Monitor,Monitors,724.29,886.75,Nova Electronics,06/02/2022
P0236,Way Laptop,Laptops,437.59,520.68,ByteWare,04/05/2019
P0237,Way Laptop,Laptops,949.71,1290.74,Quantum Supplies,16/01/2022
P0238,Develop Smartphone,Smartphones,936.02,1138.9,Quantum Supplies,14/02/2021
P0239,Reflect Networkin,Networking,444.72,575.02,Digitex,16/11/2019
P0240,Health Accessorie,Accessories,483.95,560.34,Nova Electronics,06/10/2023
P0241,Usually Smartphone,Smartphones,532.83,773.53,ByteWare,16/06/2022
P0242,Pressure Laptop,Laptops,784.04,1130.4,Digitex,25/04/2020
P0243,Wish Tablet,Tablets,303.81,334.5,ByteWare,05/01/2021
P0244,Treatment Networkin,Networking,845.6,1126.31,Digitex,19/05/2020
P0245,Such Networkin,Networking,872,1114.96,Quantum Supplies,04/07/2020
P0246,Upon Accessorie,Accessories,365.82,514.03,Digitex,04/07/2022
P0247,Ago Accessorie,Accessories,936.21,1355.48,Quantum Supplies,11/07/2020
P0248,Since Networkin,Networking,593.21,707.95,Nova Electronics,29/10/2021
P0249,Stay Accessorie,Accessories,352.27,454.14,TechCorp,03/07/2022
P0250,Suffer Accessorie,Accessories,988.99,1401.36,Quantum Supplies,10/02/2021
P0251,Example Networkin,Networking,520.56,580.32,Nova Electronics,09/05/2020
P0252,Store Monitor,Monitors,365.39,416.6,ByteWare,02/12/2019
P0253,Idea Accessorie,Accessories,549.65,705.08,TechCorp,01/05/2019
P0254,Town Networkin,Networking,439.48,598.53,Nova Electronics,02/01/2023
P0255,Doctor Smartphone,Smartphones,496.02,737.92,TechCorp,12/09/2020
P0256,Technology Tablet,Tablets,708.07,962.93,ByteWare,01/12/2022
P0257,Hard Tablet,Tablets,866.38,1084.71,FutureTek,06/08/2021
P0258,Tend Tablet,Tablets,732.78,1028.65,FutureTek,08/12/2020
P0259,Dog Monitor,Monitors,636.59,760.03,TechCorp,15/03/2019
P0260,Receive Networkin,Networking,997.55,1395.28,Digitex,23/08/2020
P0261,Inside Accessorie,Accessories,772.35,1067.05,TechCorp,16/10/2021
P0262,Family Laptop,Laptops,208.05,253.78,Quantum Supplies,04/08/2019
P0263,Spring Laptop,Laptops,358.16,402.02,TechCorp,17/05/2021
P0264,Have Tablet,Tablets,459.15,549.91,Digitex,16/06/2024
P0265,Mr Accessorie,Accessories,697.71,817.73,ByteWare,26/05/2022
P0266,Respond Smartphone,Smartphones,629.02,788.17,TechCorp,24/07/2023
P0267,Glass Networkin,Networking,522.78,697,Nova Electronics,27/03/2019
P0268,Business Smartphone,Smartphones,656.01,842.2,Quantum Supplies,22/03/2021
P0269,Could Networkin,Networking,903.96,1162.58,TechCorp,09/12/2023
P0270,Evidence Tablet,Tablets,569.27,643.02,FutureTek,29/04/2019
P0271,Boy Tablet,Tablets,334.2,496.22,ByteWare,28/01/2024
P0272,Leader Networkin,Networking,483.99,590.88,Digitex,10/12/2021
P0273,Shoulder Accessorie,Accessories,151.32,189.54,Quantum Supplies,01/09/2021
P0274,Least Tablet,Tablets,331.08,456.79,ByteWare,27/02/2024
P0275,Much Laptop,Laptops,426.02,470,FutureTek,26/12/2019
P0276,Image Networkin,Networking,974.92,1427.52,FutureTek,27/11/2023
P0277,Customer Networkin,Networking,841.2,1229.14,Quantum Supplies,02/03/2021
P0278,Another Smartphone,Smartphones,811.84,964.14,ByteWare,16/09/2022
P0279,Ability Smartphone,Smartphones,288.1,403.98,ByteWare,04/06/2023
P0280,Wish Networkin,Networking,846.42,1143.77,FutureTek,31/07/2023
P0281,Right Networkin,Networking,87.45,123.78,FutureTek,04/09/2020
P0282,Himself Laptop,Laptops,396.62,457.13,ByteWare,01/09/2022
P0283,Available Tablet,Tablets,760.11,889.52,Digitex,22/10/2021
P0284,Price Smartphone,Smartphones,882.64,1100.07,ByteWare,02/09/2021
P0285,Record Monitor,Monitors,838.95,1009.08,Digitex,23/01/2020
P0286,Service Accessorie,Accessories,759.23,938.02,Digitex,22/07/2021
P0287,Movement Laptop,Laptops,964.75,1115.54,Quantum Supplies,18/08/2021
P0288,Reflect Smartphone,Smartphones,738.01,1101.09,FutureTek,22/06/2022
P0289,General Monitor,Monitors,135.79,170.8,Digitex,04/06/2022
P0290,Same Tablet,Tablets,167.41,208.83,ByteWare,07/07/2021
P0291,Once Networkin,Networking,299.05,374.53,FutureTek,31/01/2020
P0292,Dark Networkin,Networking,152.93,182.53,Digitex,30/07/2022
P0293,Red Laptop,Laptops,890.02,1178.89,ByteWare,23/03/2022
P0294,Research Monitor,Monitors,665.27,900.88,Nova Electronics,24/06/2020
P0295,Power Accessorie,Accessories,337.08,425.84,FutureTek,04/11/2023
P0296,Fish Smartphone,Smartphones,948.95,1159.38,TechCorp,15/06/2022
P0297,Official Accessorie,Accessories,142.33,207.08,TechCorp,02/01/2019
P0298,Fly Smartphone,Smartphones,480.96,658.05,Quantum Supplies,10/06/2021
P0299,Develop Networkin,Networking,948.68,1202.59,FutureTek,28/08/2022
P0300,Stock Networkin,Networking,196.8,249.14,FutureTek,07/12/2023
P0301,Policy Laptop,Laptops,634.87,936.83,Quantum Supplies,28/09/2021
P0302,Make Tablet,Tablets,705.77,837.68,TechCorp,04/10/2022
P0303,Letter Accessorie,Accessories,862.68,983.23,Nova Electronics,25/10/2020
P0304,Much Networkin,Networking,567.24,845.83,Digitex,10/01/2023
P0305,Student Tablet,Tablets,428.23,503.57,TechCorp,11/06/2020
P0306,Reason Laptop,Laptops,137.09,162.43,Quantum Supplies,21/09/2019
P0307,Federal Networkin,Networking,972.54,1089.47,ByteWare,21/05/2023
P0308,Record Tablet,Tablets,989.38,1399.77,Nova Electronics,20/05/2024
P0309,President Smartphone,Smartphones,838.33,1108.01,TechCorp,07/11/2021
P0310,Better Monitor,Monitors,822.4,981.29,Nova Electronics,30/12/2020
P0311,Remember Smartphone,Smartphones,52.69,76.05,ByteWare,22/08/2021
P0312,Down Smartphone,Smartphones,563.2,799.41,Nova Electronics,10/09/2020
P0313,Choice Laptop,Laptops,873.13,1006.48,FutureTek,17/03/2019
P0314,Any Tablet,Tablets,609.41,674.2,Nova Electronics,30/01/2021
P0315,May Tablet,Tablets,170.42,216.16,TechCorp,14/03/2024
P0316,To Laptop,Laptops,110.38,141.21,FutureTek,15/08/2019
P0317,Lose Tablet,Tablets,613.98,786.39,ByteWare,11/07/2022
P0318,Various Smartphone,Smartphones,91.2,128.89,ByteWare,10/05/2024
P0319,Parent Networkin,Networking,336.55,456.81,ByteWare,27/08/2020
P0320,Serious Laptop,Laptops,998.66,1436.99,TechCorp,07/04/2022
